X,Y,Z,Acceleration,Heading,Timestamp
-0.34605002,1.35,9.73305,9.832320295835686,,245547800280290
-0.34605002,1.35,9.73305,9.832320295835686,55.18938332399624,245547800280290
-0.34605002,1.35,9.73305,9.832320295835686,55.590291522613896,245547800280290
-0.58305,1.3620001,9.735001,9.847092221550815,,245547819339073
-0.58305,1.3620001,9.735001,9.847092221550815,55.590291522613896,245547819339073
-0.58305,1.3620001,9.735001,9.847092221550815,55.91913098020416,245547819339073
-0.63795,1.35,9.943951,10.055428051593887,,245547838397600
-0.63795,1.35,9.943951,10.055428051593887,55.91913098020416,245547838397600
-0.63795,1.35,9.943951,10.055428051593887,56.12153339097373,245547838397600
-0.56805,1.3879501,9.963,10.075239942547391,,245547857456348
-0.56805,1.3879501,9.963,10.075239942547391,56.12153339097373,245547857456348
-0.56805,1.3879501,9.963,10.075239942547391,56.26665100517441,245547857456348
-0.46500003,1.41495,9.912001,10.023276133736164,,245547876515102
-0.46500003,1.41495,9.912001,10.023276133736164,56.26665100517441,245547876515102
-0.46500003,1.41495,9.912001,10.023276133736164,56.36704454068984,245547876515102
-0.31695002,1.3950001,9.891001,9.993917141030204,,245547895573896
-0.31695002,1.3950001,9.891001,9.993917141030204,56.36704454068984,245547895573896
-0.31695002,1.3950001,9.891001,9.993917141030204,56.41622190271393,245547895573896
-0.25005,1.4430001,9.77805,9.887115000331752,,245547914632656
-0.25005,1.4430001,9.77805,9.887115000331752,56.41622190271393,245547914632656
-0.25005,1.4430001,9.77805,9.887115000331752,56.459269169957935,245547914632656
-0.32700002,1.5460501,9.726001,9.853542144104551,,245547933691364
-0.32700002,1.5460501,9.726001,9.853542144104551,56.459269169957935,245547933691364
-0.32700002,1.5460501,9.726001,9.853542144104551,56.52328170285929,245547933691364
-0.32700002,1.5130501,9.74505,9.867231572793496,,245547952750112
-0.32700002,1.5130501,9.74505,9.867231572793496,56.52328170285929,245547952750112
-0.32700002,1.5130501,9.74505,9.867231572793496,56.60963236944118,245547952750112
-0.41505003,1.455,9.690001,9.807415659413234,,245547971808853
-0.41505003,1.455,9.690001,9.807415659413234,56.60963236944118,245547971808853
-0.41505003,1.455,9.690001,9.807415659413234,56.70954437662013,245547971808853
-0.55395,1.5340501,9.68505,9.821423791661276,,245547990867602
-0.55395,1.5340501,9.68505,9.821423791661276,56.70954437662013,245547990867602
-0.55395,1.5340501,9.68505,9.821423791661276,56.77424675862766,245547990867602
-0.52500004,1.5649501,9.673051,9.812879810150383,,245548009926138
-0.52500004,1.5649501,9.673051,9.812879810150383,56.77424675862766,245548009926138
-0.52500004,1.5649501,9.673051,9.812879810150383,56.783518740425954,245548009926138
-0.47295,1.6710001,9.56505,9.721424973512114,,245548028984909
-0.47295,1.6710001,9.56505,9.721424973512114,56.783518740425954,245548028984909
-0.47295,1.6710001,9.56505,9.721424973512114,56.754025983589834,245548028984909
-0.39600003,1.7740501,9.52005,9.69202893127582,,245548048043678
-0.39600003,1.7740501,9.52005,9.69202893127582,56.754025983589834,245548048043678
-0.39600003,1.7740501,9.52005,9.69202893127582,56.71335903727158,245548048043678
-0.372,1.77795,9.462001,9.634778096801679,,245548067102382
-0.372,1.77795,9.462001,9.634778096801679,56.71335903727158,245548067102382
-0.372,1.77795,9.462001,9.634778096801679,56.68568652584927,245548067102382
-0.42705002,1.8070501,9.496051,9.675886514743308,,245548086161237
-0.42705002,1.8070501,9.496051,9.675886514743308,56.68568652584927,245548086161237
-0.42705002,1.8070501,9.496051,9.675886514743308,56.68014724243239,245548086161237
-0.48705003,1.7740501,9.559951,9.735354648237173,,245548105219974
-0.48705003,1.7740501,9.559951,9.735354648237173,56.68014724243239,245548105219974
-0.48705003,1.7740501,9.559951,9.735354648237173,56.686663242900586,245548105219974
-0.53505003,1.7209501,9.616051,9.783474702696418,,245548124278632
-0.53505003,1.7209501,9.616051,9.783474702696418,56.686663242900586,245548124278632
-0.53505003,1.7209501,9.616051,9.783474702696418,56.69864680979937,245548124278632
-0.58305,1.7070001,9.714001,9.880061144311407,,245548143337391
-0.58305,1.7070001,9.714001,9.880061144311407,56.69864680979937,245548143337391
-0.58305,1.7070001,9.714001,9.880061144311407,56.68954216763574,245548143337391
-0.48900002,1.6540501,9.805051,9.95560289137047,,245548162396111
-0.48900002,1.6540501,9.805051,9.95560289137047,56.68954216763574,245548162396111
-0.48900002,1.6540501,9.805051,9.95560289137047,56.63967495650548,245548162396111
-0.35295,1.6660501,9.7900505,9.937071209179724,,245548181454904
-0.35295,1.6660501,9.7900505,9.937071209179724,56.63967495650548,245548181454904
-0.35295,1.6660501,9.7900505,9.937071209179724,56.56172200750813,245548181454904
-0.24495001,1.7209501,9.72795,9.882038167540468,,245548200513707
-0.24495001,1.7209501,9.72795,9.882038167540468,56.56172200750813,245548200513707
-0.24495001,1.7209501,9.72795,9.882038167540468,56.488505794700174,245548200513707
-0.21195,1.71405,9.59595,9.750135763152343,,245548219572238
-0.21195,1.71405,9.59595,9.750135763152343,56.488505794700174,245548219572238
-0.21195,1.71405,9.59595,9.750135763152343,56.451578376952504,245548219572238
-0.29595003,1.6900501,9.5130005,9.666490180498192,,245548238631005
-0.29595003,1.6900501,9.5130005,9.666490180498192,56.451578376952504,245548238631005
-0.29595003,1.6900501,9.5130005,9.666490180498192,56.45125735806151,245548238631005
-0.37695003,1.644,9.58905,9.736257404770743,,245548257689765
-0.37695003,1.644,9.58905,9.736257404770743,56.45125735806151,245548257689765
-0.37695003,1.644,9.58905,9.736257404770743,56.45113099956187,245548257689765
